Cod Interno,Cod Principal,Descrição
00507,06028838592584,SORVETE CHOCOMENTA 7 L
00502,06028838592652,SORVETE COCO 7 L
17,06028838592720,SORVETE COOKIE 7 L
00503,06028838590986,SORVETE CREME 7 L
30,06028838593956,SORVETE CREME VANILLA 7 L
45,06028838594014,SORVETE CROCANTE SALT 7 L
31,06028838591808,SORVETE DANONINHO 7 L
00513,06028838594182,SORVETE DOCE DE LEITE 7 L
22,06028838594250,SORVETE FERRERO ROCHER 7 L
00504,06028838592898,SORVETE FLOCOS 7 L
2,06028838594496,SORVETE FRAMBOESA 7 L
00511,06028838594564,SORVETE FROZEN YOGURTE 7 L
00506,06028838592966,SORVETE FRUTAS DO BOSQUE 7 L
10,06028838591426,SORVETE GRAVIOLA 7 L
15,06028838593024,SORVETE IOGURTE GREGO 7 L
00583,06028838594632,SORVETE KINDER OVO 7 L
35,06028838594700,SORVETE KITKAT 7 L
18,06028838591280,SORVETE LEITE CONDENSADO 7 L
00514,06028838597084,SORVETE MACACO LOUCO 7 L
3,06028838593192,SORVETE MARACUJÁ 7 L
16,06028838592348,SORVETE MILHO VERDE 7 L
00508,06028838593260,SORVETE MORANGO 7 L
00529,06028838593338,SORVETE MORANGO FLOCADO 7 L
23,06028838596612,SORVETE MORANGO ZERO 7 L
25,06028838591358,SORVETE NAPOLITANO 7 L
00913,06028838597152,SORVETE NAPOLITANO ZERO 7 L
00509,06028838594878,SORVETE NINHO COM NUTELA 7 L
00126,,SORVETE NINHO 10 L (FORA PADRÃO)
00530,06028838595004,SORVETE NINHO TRUFADO 7 L
7,06028838596780,SORVETE NINHO TRUFADO ZERO 7 L
00505,06028838595172,SORVETE NUTELA 7 L
00531,06028838596094,SORVETE OREO 7 L
28,06028838595240,SORVETE OVOMALTINE 7 L
00570,06028838593406,SORVETE PASSAS 7 L
00098,06028838593574,SORVETE PAVÊ 7 L
36,06028838594328,SORVETE PIPOCA CARAMELO 7 L
38,06028838596308,SORVETE PISTACHE 7 L
29,06028838595318,SORVETE PRESTIGIO 7 L
39,,SORVETE PUDIM 10 L (FORA PADRÃO)
00515,06028838596162,SORVETE QUEIJO 7 L
20,06028838595868,SORVETE RED VELVET 7 L
00540,06028838595554,SORVETE SNICKERS 7 L
00584,06028838593642,SORVETE TORTA DE LIMÃO 7 L
9,06028838595790,SORVETE TORTA SPECULOS 7 L
24,06028838595486,SORVETE UNICORNIO 7 L
00569,06028838591730,SORVETE UVA 7 L
